student@fit-vm:~/Desktop/Week6/LAB03$ gcc fork2.c -o fork
student@fit-vm:~/Desktop/Week6/LAB03$ ./fork
Message from P at the 0th iteration
F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1001    2056    1409  0  80   0 - 123477 poll_s ?       00:00:00 xdg-desktop-por
4 S     0    2068       1  0  80   0 - 96081 -      ?        00:00:00 fwupd
0 S  1001    2781    1409  0  80   0 - 40586 poll_s ?        00:00:00 gvfsd-metadata
0 S  1001    2784    1616  0  80   0 - 105145 poll_s ?       00:00:00 update-notifier
Message from P at the 8th iteration
0 S  1001    3263    1409  0  80   0 - 108683 poll_s ?       00:00:00 tracker-store
4 S  1001    5737    1409  0  80   0 - 801744 poll_s ?       00:00:26 firefox
4 S  1001    5810    5737  0  80   0 - 606130 poll_s ?       00:00:01 Privileged Cont
4 S  1001    5856    5737  0  80   0 - 604670 poll_s ?       00:00:01 WebExtensions
4 S  1001    5894    5737  0  80   0 - 701307 poll_s ?       00:00:12 Web Content
4 S  1001    5935    5737  0  80   0 - 598620 poll_s ?       00:00:00 Web Content
4 S  1001    5969    5737  0  80   0 - 48986 poll_s ?        00:00:00 RDD Process
0 S  1001    5989    1409  0  80   0 - 366846 poll_s ?       00:00:14 nautilus
0 S  1001    6029    1442  0  80   0 - 78540 poll_s ?        00:00:00 gvfsd-network
0 S  1001    6044    1442  0  80   0 - 78756 poll_s ?        00:00:00 gvfsd-dnssd
1 I     0    6274       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:2-events
0 R  1001   10108    1409  0  80   0 - 203955 poll_s ?       00:00:02 gnome-terminal-
0 S  1001   10115   10108  0  80   0 -  2654 poll_s pts/0    00:00:00 bash
1 I     0   10820       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:1-cgroup_destroy
1 I     0   13659       2  0  80   0 -     0 -      ?        00:00:00 kworker/u4:2-events_power_efficient
1 I     0   13666       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:0-cgroup_destroy
Message from P at the 9th iteration
1 I     0   13742       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:2-events
1 I     0   14476       2  0  80   0 -     0 -      ?        00:00:00 kworker/u4:0-ext4-rsv-conversion
